evidence_id,farmer_id,claim,value,unit,source,confidence,conflict
E00101,F001,production_quantity,12.0,tonnes,self_declared,0.55,False
E00102,F001,land_area,4.2,acres,government_record,0.98,False
E00103,F001,crop,Wheat,text,fpo_verification,0.92,False
E00104,F001,seasonal_income,310000,INR,self_declared,0.55,False
E00105,F001,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00201,F002,production_quantity,9.1,tonnes,self_declared,0.55,False
E00202,F002,land_area,2.8,acres,government_record,0.98,False
E00203,F002,crop,Rice,text,fpo_verification,0.92,False
E00204,F002,seasonal_income,205000,INR,self_declared,0.55,False
E00205,F002,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00301,F003,production_quantity,24.05,tonnes,self_declared,0.55,False
E00302,F003,land_area,6.5,acres,government_record,0.98,False
E00303,F003,crop,Soybean,text,fpo_verification,0.92,False
E00304,F003,seasonal_income,490000,INR,self_declared,0.55,False
E00305,F003,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00401,F004,production_quantity,12.87,tonnes,self_declared,0.55,False
E00402,F004,land_area,3.1,acres,government_record,0.98,False
E00403,F004,crop,Cotton,text,fpo_verification,0.92,False
E00404,F004,seasonal_income,275000,INR,self_declared,0.55,False
E00405,F004,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00501,F005,production_quantity,14.0,tonnes,self_declared,0.55,False
E00502,F005,land_area,5.0,acres,government_record,0.98,False
E00503,F005,crop,Mustard,text,fpo_verification,0.92,False
E00504,F005,seasonal_income,360000,INR,self_declared,0.55,False
E00505,F005,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00601,F006,production_quantity,7.15,tonnes,self_declared,0.55,False
E00602,F006,land_area,2.2,acres,government_record,0.98,False
E00603,F006,crop,Onion,text,fpo_verification,0.92,False
E00604,F006,seasonal_income,235000,INR,self_declared,0.55,False
E00605,F006,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00701,F007,production_quantity,6.66,tonnes,self_declared,0.55,False
E00702,F007,land_area,1.8,acres,government_record,0.98,False
E00703,F007,crop,Potato,text,fpo_verification,0.92,False
E00704,F007,seasonal_income,180000,INR,self_declared,0.55,False
E00705,F007,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00801,F008,production_quantity,29.88,tonnes,self_declared,0.55,False
E00802,F008,land_area,7.2,acres,government_record,0.98,False
E00803,F008,crop,Wheat,text,fpo_verification,0.92,False
E00804,F008,seasonal_income,560000,INR,self_declared,0.55,False
E00805,F008,pmkisan_enrollment,1,boolean,government_record,0.98,False
E00901,F009,production_quantity,10.36,tonnes,self_declared,0.55,False
E00902,F009,land_area,3.7,acres,government_record,0.98,False
E00903,F009,crop,Sugarcane,text,fpo_verification,0.92,False
E00904,F009,seasonal_income,420000,INR,self_declared,0.55,False
E00905,F009,pmkisan_enrollment,0,boolean,government_record,0.98,False
E01001,F010,production_quantity,8.12,tonnes,self_declared,0.55,False
E01002,F010,land_area,2.5,acres,government_record,0.98,False
E01003,F010,crop,Rice,text,fpo_verification,0.92,False
E01004,F010,seasonal_income,215000,INR,self_declared,0.55,False
E01005,F010,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01101,F011,production_quantity,29.6,tonnes,self_declared,0.55,False
E01102,F011,land_area,8.0,acres,government_record,0.98,False
E01103,F011,crop,Groundnut,text,fpo_verification,0.92,False
E01104,F011,seasonal_income,650000,INR,self_declared,0.55,False
E01105,F011,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01201,F012,production_quantity,8.3,tonnes,self_declared,0.55,False
E01202,F012,land_area,2.0,acres,government_record,0.98,False
E01203,F012,crop,Soybean,text,fpo_verification,0.92,False
E01204,F012,seasonal_income,170000,INR,self_declared,0.55,False
E01205,F012,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01301,F013,production_quantity,9.52,tonnes,self_declared,0.55,False
E01302,F013,land_area,3.4,acres,government_record,0.98,False
E01303,F013,crop,Rice,text,fpo_verification,0.92,False
E01304,F013,seasonal_income,255000,INR,self_declared,0.55,False
E01305,F013,pmkisan_enrollment,0,boolean,government_record,0.98,False
E01401,F014,production_quantity,4.88,tonnes,self_declared,0.55,False
E01402,F014,land_area,1.5,acres,government_record,0.98,False
E01403,F014,crop,Vegetables,text,fpo_verification,0.92,False
E01404,F014,seasonal_income,155000,INR,self_declared,0.55,False
E01405,F014,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01501,F015,production_quantity,9.99,tonnes,self_declared,0.55,False
E01502,F015,land_area,2.7,acres,government_record,0.98,False
E01503,F015,crop,Apple,text,fpo_verification,0.92,False
E01504,F015,seasonal_income,390000,INR,self_declared,0.55,False
E01505,F015,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01601,F016,production_quantity,19.09,tonnes,self_declared,0.55,False
E01602,F016,land_area,4.6,acres,government_record,0.98,False
E01603,F016,crop,Rice,text,fpo_verification,0.92,False
E01604,F016,seasonal_income,330000,INR,self_declared,0.55,False
E01605,F016,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01701,F017,production_quantity,19.04,tonnes,self_declared,0.55,False
E01702,F017,land_area,6.8,acres,government_record,0.98,False
E01703,F017,crop,Wheat,text,fpo_verification,0.92,False
E01704,F017,seasonal_income,585000,INR,self_declared,0.55,False
E01705,F017,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01801,F018,production_quantity,9.75,tonnes,self_declared,0.55,False
E01802,F018,land_area,3.0,acres,government_record,0.98,False
E01803,F018,crop,Turmeric,text,fpo_verification,0.92,False
E01804,F018,seasonal_income,310000,INR,self_declared,0.55,False
E01805,F018,pmkisan_enrollment,1,boolean,government_record,0.98,False
E01901,F019,production_quantity,8.88,tonnes,self_declared,0.55,False
E01902,F019,land_area,2.4,acres,government_record,0.98,False
E01903,F019,crop,Maize,text,fpo_verification,0.92,False
E01904,F019,seasonal_income,190000,INR,self_declared,0.55,False
E01905,F019,pmkisan_enrollment,0,boolean,government_record,0.98,False
E02001,F020,production_quantity,16.19,tonnes,self_declared,0.55,False
E02002,F020,land_area,3.9,acres,government_record,0.98,False
E02003,F020,crop,Basmati Rice,text,fpo_verification,0.92,False
E02004,F020,seasonal_income,365000,INR,self_declared,0.55,False
E02005,F020,pmkisan_enrollment,1,boolean,government_record,0.98,False
