record_id,farmer_id,scheme,status,record_date,source
G00101,F001,PM-KISAN,enrolled,2026-01-15,government_record
G00102,F001,PMFBY,insured,2026-01-20,government_record
G00201,F002,PM-KISAN,enrolled,2026-01-15,government_record
G00202,F002,PMFBY,insured,2026-01-20,government_record
G00301,F003,PM-KISAN,enrolled,2026-01-15,government_record
G00302,F003,PMFBY,insured,2026-01-20,government_record
G00401,F004,PM-KISAN,enrolled,2026-01-15,government_record
G00402,F004,PMFBY,insured,2026-01-20,government_record
G00501,F005,PM-KISAN,enrolled,2026-01-15,government_record
G00502,F005,PMFBY,insured,2026-01-20,government_record
G00601,F006,PM-KISAN,enrolled,2026-01-15,government_record
G00602,F006,PMFBY,insured,2026-01-20,government_record
G00701,F007,PM-KISAN,enrolled,2026-01-15,government_record
G00702,F007,PMFBY,not_insured,2026-01-20,government_record
G00801,F008,PM-KISAN,enrolled,2026-01-15,government_record
G00802,F008,PMFBY,insured,2026-01-20,government_record
G00901,F009,PM-KISAN,not_enrolled,2026-01-15,government_record
G00902,F009,PMFBY,not_insured,2026-01-20,government_record
G01001,F010,PM-KISAN,enrolled,2026-01-15,government_record
G01002,F010,PMFBY,insured,2026-01-20,government_record
G01101,F011,PM-KISAN,enrolled,2026-01-15,government_record
G01102,F011,PMFBY,insured,2026-01-20,government_record
G01201,F012,PM-KISAN,enrolled,2026-01-15,government_record
G01202,F012,PMFBY,insured,2026-01-20,government_record
G01301,F013,PM-KISAN,not_enrolled,2026-01-15,government_record
G01302,F013,PMFBY,not_insured,2026-01-20,government_record
G01401,F014,PM-KISAN,enrolled,2026-01-15,government_record
G01402,F014,PMFBY,insured,2026-01-20,government_record
G01501,F015,PM-KISAN,enrolled,2026-01-15,government_record
G01502,F015,PMFBY,insured,2026-01-20,government_record
G01601,F016,PM-KISAN,enrolled,2026-01-15,government_record
G01602,F016,PMFBY,not_insured,2026-01-20,government_record
G01701,F017,PM-KISAN,enrolled,2026-01-15,government_record
G01702,F017,PMFBY,insured,2026-01-20,government_record
G01801,F018,PM-KISAN,enrolled,2026-01-15,government_record
G01802,F018,PMFBY,insured,2026-01-20,government_record
G01901,F019,PM-KISAN,not_enrolled,2026-01-15,government_record
G01902,F019,PMFBY,not_insured,2026-01-20,government_record
G02001,F020,PM-KISAN,enrolled,2026-01-15,government_record
G02002,F020,PMFBY,insured,2026-01-20,government_record
