transaction_id,farmer_id,market,crop,transaction_date,amount,currency,source
M00101,F001,Sitapur,Wheat,2025-11-15,62775.0,INR,AGMARKNET_sample
M00102,F001,Sitapur,Wheat,2026-02-10,76725.0,INR,AGMARKNET_sample
M00201,F002,Nalanda,Rice,2025-11-15,41512.5,INR,AGMARKNET_sample
M00202,F002,Nalanda,Rice,2026-02-10,50737.5,INR,AGMARKNET_sample
M00301,F003,Sehore,Soybean,2025-11-15,99225.0,INR,AGMARKNET_sample
M00302,F003,Sehore,Soybean,2026-02-10,121275.0,INR,AGMARKNET_sample
M00401,F004,Kheda,Cotton,2025-11-15,55687.5,INR,AGMARKNET_sample
M00402,F004,Kheda,Cotton,2026-02-10,68062.5,INR,AGMARKNET_sample
M00501,F005,Kota,Mustard,2025-11-15,72900.0,INR,AGMARKNET_sample
M00502,F005,Kota,Mustard,2026-02-10,89100.0,INR,AGMARKNET_sample
M00601,F006,Nashik,Onion,2025-11-15,47587.5,INR,AGMARKNET_sample
M00602,F006,Nashik,Onion,2026-02-10,58162.5,INR,AGMARKNET_sample
M00701,F007,Agra,Potato,2025-11-15,36450.0,INR,AGMARKNET_sample
M00702,F007,Agra,Potato,2026-02-10,44550.0,INR,AGMARKNET_sample
M00801,F008,Karnal,Wheat,2025-11-15,113400.0,INR,AGMARKNET_sample
M00802,F008,Karnal,Wheat,2026-02-10,138600.0,INR,AGMARKNET_sample
M00901,F009,Pune,Sugarcane,2025-11-15,85050.0,INR,AGMARKNET_sample
M00902,F009,Pune,Sugarcane,2026-02-10,103950.0,INR,AGMARKNET_sample
M01001,F010,Burdwan,Rice,2025-11-15,43537.5,INR,AGMARKNET_sample
M01002,F010,Burdwan,Rice,2026-02-10,53212.5,INR,AGMARKNET_sample
M01101,F011,Rajkot,Groundnut,2025-11-15,131625.0,INR,AGMARKNET_sample
M01102,F011,Rajkot,Groundnut,2026-02-10,160875.0,INR,AGMARKNET_sample
M01201,F012,Indore,Soybean,2025-11-15,34425.0,INR,AGMARKNET_sample
M01202,F012,Indore,Soybean,2026-02-10,42075.0,INR,AGMARKNET_sample
M01301,F013,Cuttack,Rice,2025-11-15,51637.5,INR,AGMARKNET_sample
M01302,F013,Cuttack,Rice,2026-02-10,63112.5,INR,AGMARKNET_sample
M01401,F014,Patna,Vegetables,2025-11-15,31387.5,INR,AGMARKNET_sample
M01402,F014,Patna,Vegetables,2026-02-10,38362.5,INR,AGMARKNET_sample
M01501,F015,Mandi,Apple,2025-11-15,78975.0,INR,AGMARKNET_sample
M01502,F015,Mandi,Apple,2026-02-10,96525.0,INR,AGMARKNET_sample
M01601,F016,Raipur,Rice,2025-11-15,66825.0,INR,AGMARKNET_sample
M01602,F016,Raipur,Rice,2026-02-10,81675.0,INR,AGMARKNET_sample
M01701,F017,Ludhiana,Wheat,2025-11-15,118462.5,INR,AGMARKNET_sample
M01702,F017,Ludhiana,Wheat,2026-02-10,144787.5,INR,AGMARKNET_sample
M01801,F018,Nizamabad,Turmeric,2025-11-15,62775.0,INR,AGMARKNET_sample
M01802,F018,Nizamabad,Turmeric,2026-02-10,76725.0,INR,AGMARKNET_sample
M01901,F019,Ranchi,Maize,2025-11-15,38475.0,INR,AGMARKNET_sample
M01902,F019,Ranchi,Maize,2026-02-10,47025.0,INR,AGMARKNET_sample
M02001,F020,Haridwar,Basmati Rice,2025-11-15,73912.5,INR,AGMARKNET_sample
M02002,F020,Haridwar,Basmati Rice,2026-02-10,90337.5,INR,AGMARKNET_sample
